artist;track;duration
Café Quijano;Dame De Esa Boca;232
Café Quijano;El Loco Triste;252
Café Quijano;Todo Es Mentira;224
Café Quijano;¿Por Qué Me Miente?;244
Café Quijano;¡Qué Grande Es Esto Del Amor!;245
Café Quijano;La Duquesa;265
Café Quijano;El Arte Del Teatro;253
Café Quijano;Cerrando Bares;238
Café Quijano;Tequila;259
Oasis;Soldier On;290
Oasis;The Nature of Reality;227
Oasis;Ain't Got Nothin';134
Oasis;To Be Where There's Life;275
Oasis;Falling Down;260
Oasis;(Get Off Your) High Horse Lady;246
Oasis;I'm Outta Time;250
Oasis;The Shock of the Lightning;299
Oasis;Waiting for the Rapture;182
Oasis;The Turning;304
Oasis;Bag It Up;280
Mark Knopfler;The Rocks & The Thunder (Reprise);0
Mark Knopfler;Stargazer;91
Mark Knopfler;Smooching;300
Mark Knopfler;Whistle Theme;53
Mark Knopfler;The Ceilidh: Louis' Favourite / Billy's Tune;222
Mark Knopfler;The Mist Covered Mountains;299
Mark Knopfler;The Ceilidh & The Northern Lights;0
Fleetwood Mac;Go Your Own Way;217
Fleetwood Mac;Don't Stop;192
Fleetwood Mac;Never Going Back Again;122
Fleetwood Mac;Dreams;257
Fleetwood Mac;Second Hand News;163
The Beatles;Dizzy Miss Lizzy;186
The Beatles;Yesterday;122
The Beatles;I've Just Seen a Face;127
The Beatles;Tell Me What You See;152
The Beatles;You Like Me Too Much;157
The Beatles;It's Only Love;148
The Beatles;Act Naturally;172
The Beatles;Ticket to Ride;187
The Beatles;You're Going to Lose That Girl;139
The Beatles;Another Girl;125
The Beatles;I Need You;152
The Beatles;You've Got to Hide Your Love Away;131
The Beatles;The Night Before;153
The Beatles;Help!;138
Tame Impala;Wings Of Time (From The Motion Picture Dungeons & Dragons: Honor Among Thieves);168
Dire Straits;Lions;299
Dire Straits;Wild West End;556
Dire Straits;In the Gallery;372
Dire Straits;Sultans of Swing;289
Dire Straits;Southbound Again;182
Dire Straits;Six Blade Knife;246
Dire Straits;Setting Me Up;200
Dire Straits;Water of Love;319
Dire Straits;Down to the Waterline;222
Roger Waters;Part of Me Died;192
Roger Waters;Oceans Apart;67
Roger Waters;Wait for Her;508
Roger Waters;Smell the Roses;314
Roger Waters;The Most Beautiful Girl;369
Roger Waters;Bird In A Gale;331
Roger Waters;Is This the Life We Really Want?;353
Roger Waters;Broken Bones;387
Roger Waters;Picture That;410
Roger Waters;The Last Refugee;262
Roger Waters;Deja Vu;342
Roger Waters;When We Were Young;98
Roger Waters;Amused to Death;547
Roger Waters;It's a Miracle;510
Roger Waters;Three Wishes;219
Roger Waters;Watching TV;367
Roger Waters;What God Wants, Part III;248
Roger Waters;What God Wants, Part II;221
Roger Waters;Too Much Rope;312
Roger Waters;Late Home Tonight, Part II;133
Roger Waters;Late Home Tonight, Part I;240
Roger Waters;The Bravery of Being Out of Range;456
Roger Waters;Perfect Sense, Part II;170
Roger Waters;Perfect Sense, Part I;256
Roger Waters;What God Wants, Part I;360
Roger Waters;The Ballad of Bill Hubbard;259
The Doors;When the Music's Over;774
The Doors;I Can't See Your Face in My Mind;198
The Doors;My Eyes Have Seen You;149
The Doors;People Are Strange;130
The Doors;Moonlight Drive;180
The Doors;Unhappy Girl;120
The Doors;Love Me Two Times;203
The Doors;You're Lost Little Girl;181
The Doors;Strange Days;185
The Doors;The End;706
The Doors;Take It as It Comes;137
The Doors;End of the Night;174
The Doors;I Looked at You;143
The Doors;Back Door Man;146
The Doors;Light My Fire;646
The Doors;Alabama Song (Whisky Bar);217
The Doors;Twentieth Century Fox;153
The Doors;The Crystal Ship;154
The Doors;Soul Kitchen;281
The Doors;Break on Through (to the Other Side);254
The Beatles;A Day in the Life;334
The Beatles;Sgt Peppers..(Reprise);0
The Beatles;Good Morning Good Morning;155
The Beatles;Lovely Rita;162
The Beatles;When I'm Sixty-Four;157
The Beatles;Within You Without You;305
The Beatles;Being for the Benefit of Mr. Kite!;157
The Beatles;She's Leaving Home;155
The Beatles;Fixing a Hole;156
The Beatles;Getting Better;168
The Beatles;Lucy in the Sky With Diamonds;208
The Beatles;With a Little Help From My Friends;164
The Beatles;Sgt Peppers Lonely Hearts Club Band;290
The Beatles;Run for Your Life;48
The Beatles;If I Needed Someone;147
The Beatles;Wait;132
The Beatles;In My Life;143
The Beatles;I'm Looking Through You;150
The Beatles;Girl;146
The Beatles;What Goes On;171
The Beatles;Michelle;182
The Beatles;The Word;162
The Beatles;Think for Yourself;137
The Beatles;Nowhere Man;130
The Beatles;You Won't See Me;199
The Beatles;Norwegian Wood (The Bird Has Flown);125
The Beatles;Drive My Car;145
The Beatles;Tomorrow Never Knows;179
The Beatles;Got to Get You Into My Life;145
The Beatles;I Want to Tell You;152
The Beatles;Doctor Robert;133
The Beatles;For No One;142
The Beatles;And Your Bird Can Sing;119
The Beatles;Good Day Sunshine;125
The Beatles;She Said She Said;159
The Beatles;Yellow Submarine;166
The Beatles;Here, There and Everywhere;146
The Beatles;Love You To;188
The Beatles;I'm Only Sleeping;177
The Beatles;Eleanor Rigby;129
The Beatles;Taxman;155
Café Quijano;Lágrimas de miel;214
Café Quijano;Los locos;216
Café Quijano;Vete de mí;172
Café Quijano;Falsas promesas;263
